G547N;G547T;G659N;G659T;G691N;G691T;G696N;G696T;G761N;G761T;G220N;G220T;G871N;G871T;G701N;G701T;G576N;G576T;G652N;G652T;G699N;G699T;G850N;G850T;G013N;G013T;G603N;G603T;G026N;G026T;G575N;G575T;G613N;G613T;G702N;G702T;G623N;G623T;G645N;G645T;G529N;G529T;G648N;G648T;G601N;G601T;G727N;G727T;G001N;G001T;G243N;G243T;G531N;G531T;G612N;G612T;G428N;G428T
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;4;;;;;;;;2;;;;;;1;;
;;;2;0;3;1;0;0;0;0;1;0;0;0;0;;;;;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;3;;;4;55;47;9;5;6;15;;;
;;;;1;16;0;0;0;0;0;0;1;0;0;0;;2;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;5;1;0;1;;;;1;2;;;;;1;;;2;;;;
8;28;68;22;8;67;1;0;38;0;6;29;66;3;51;3;20;142;16;61;1;35;88;53;105;51;43;5;65;1293;78;6;198;141;288;7;338;172;64;0;113;739;120;2;47;274;24;;2;67;495;227;108;212;21;3;1;2
2;289;7;3;0;4;1;1;25;1;6;20;23;3;12;1;5;13;9;9;0;12;17;7;17;13;26;1;6;229;32;3;42;20;53;2;38;33;33;1;9;84;45;1;23;20;18;1;1;25;44;19;14;31;13;6;1;
35;73;68;105;56;42;4;1;67;2;25;51;54;16;62;17;41;215;63;72;3;157;398;592;70;253;28;4;141;57;22;9;32;264;56;68;41;410;34;0;305;55;46;2;117;332;59;5;13;94;133;590;65;226;65;3;3;5
56;;489;9;19;120;7;12;670;3;12;618;437;84;69;9;32;564;104;145;1;125;49;23;488;135;232;89;206;952;1095;10;702;96;1084;19;860;1111;376;2;3639;1558;1179;8;630;259;19;1;9;82;4055;131;1306;317;357;3;;15
;2;6;1;2;3;2;0;145;;3;7;48;1;1;0;;3;8;2;0;1;2;;15;7;37;2;4;14;160;1;34;3;32;0;19;17;64;;34;31;228;;22;;5;1;;;42;2;32;4;84;;;
101;22;2066;16;69;81;20;19;170;2;6;184;791;23;892;21;77;536;203;45;2;46;46;27;2390;187;951;42;501;1345;3147;7;3648;137;2455;14;6062;497;1894;5;5361;1408;5149;5;701;236;376;7;24;387;3569;58;815;425;159;5;19;1
;;5;;12;;1;0;78;;3;1;219;;7;1;3;1;14;;0;1;1;;50;1;326;1;13;9;660;0;74;8;25;;64;2;548;0;31;11;892;;28;2;203;;31;4;45;;18;2;66;;;
;1;;;;;;;1;;0;0;1;;1;0;;5;;;;;3;5;2;55;1;1;23;11;0;0;3;2;1;14;2;;1;;7;3;6;;;12;;1;;7;1;28;1;8;1;;;
;;;;;;;;;;0;0;;;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;
;;;;;;;;;;0;1;;;;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;;;;;;;;;2;;;;;;;;
;;;;;;;;1;;0;0;;;;0;;;;;;;;;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;11;1;;;7;;;;1;43;3;;5;;;;;
;;;;;;;;;;0;0;;;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;1;;;;;;;
;;;;;;;;;;0;0;;;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;;;;
;;;;;;;;;;0;0;;;;0;;;;;;;2;;0;0;0;0;3;1;0;0;1;;1;;3;0;0;0;1;;;;;;;;;;2;;1;;;;;
;;;;;;;;;;0;1;;;;0;;;;;;;;;1;1;0;0;0;1;0;0;;;;1;;3;0;0;1;1;;;;1;;;;;;;;2;;;1;
;1;1;;1;1;;;1;;0;1;1;;;0;;;;;;;1;;0;1;1;1;2;17;0;0;4;5;9;0;2;7;3;0;;16;;;;3;1;1;;;2;2;;2;;;;
;1;;;1;;;;;1;0;0;;1;;0;;;;1;;1;1;1;0;0;2;3;0;12;0;0;4;;6;0;15;4;1;3;1;10;;;;3;;;;4;5;3;;3;;3;;
;;;;;;;;;;0;0;;;;0;;;;;;;;;1;0;0;0;0;3;0;0;0;0;0;0;1;;;;;1;;;;;;;;;;;;;;;;
;;;;;;;;;;0;0;;;;0;;2;;;;;;;0;0;1;0;0;1;0;0;0;0;0;0;1;;1;;;1;;;;1;;;;1;1;;;;;;;
;;;;;;;;;;0;1;;;;0;;;;;;;;;0;1;;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;1;;;;;;
;;;;;;;;;;0;;;;;0;;;;;;;;1;0;1;1;0;1;9;0;0;;;1;0;1;1;2;;1;;;;;2;;;;;;;;1;;;;
1;8;;;;2;;;;;0;3;27;;1;1;3;10;;1;;3;;;0;3;1;0;2;8;0;0;24;2;8;0;0;14;1;;5;12;3;;1;;;;12;685;16;3;;3;;;;
;;;;;;;;;;0;0;;;;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;3;;;;;;;;
2;2;5;;6;3;;;26;2;0;9;18;2;6;0;8;3;5;5;1;1;;1;22;6;104;2;4;93;91;1;54;6;25;0;53;7;133;;11;50;163;;15;44;23;;43;23;122;9;5;14;11;;;
135;90;1048;17;165;48;79;15;503;2;76;294;606;86;585;31;426;105;431;61;14;215;61;20;2554;138;1614;57;97;2308;1258;8;3549;12;1899;4;3571;43;3774;4;109;2116;3892;5;1045;83;385;15;277;358;5678;19;1573;45;224;5;20;1
1038;381;8036;99;566;105;391;126;3990;19;195;1299;5409;614;4481;329;5007;1463;2595;201;94;902;442;101;15099;2249;7859;206;557;10374;12838;15;46295;68;24676;26;24188;400;23106;13;1617;10122;30072;6;11698;1134;2113;85;1981;164;49460;101;20860;167;1828;27;106;1
2;;12;;4;;;;11;0;0;1;2;1;2;0;;1;5;1;;;;;7;;25;1;2;20;31;;29;3;35;;29;;40;;11;20;46;;4;8;7;;33;1;109;3;10;2;3;;;
2;;15;1;5;1;;;11;0;0;6;21;1;8;0;2;58;15;;;1;1;1;32;24;35;1;10;193;76;;116;16;56;;61;28;115;;32;30;112;;17;44;23;1;10;1;89;1;13;4;5;;;
379;121;3833;81;691;649;84;37;1908;3;155;362;1471;329;1395;81;248;1136;1160;460;6;52;439;160;5222;1646;4558;101;1209;5443;10846;64;8751;800;17487;67;14472;1936;6420;1;3987;9016;12004;8;1043;220;1698;43;12;245;8116;220;2242;832;799;18;377;80
60;44;1620;33;164;48;30;16;2420;3;217;459;1354;346;1344;98;34;551;293;47;2;13;356;94;3648;959;3388;84;842;3633;16924;115;10924;600;20780;53;10957;1739;10840;1;3053;7217;17003;5;708;71;2134;44;9;23;3952;81;2576;515;1438;15;3;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;34;158;2;48;42;2;38;47;11;7;154;139;87;124;14;231;126;27;34;3;6;9;7;104;142;133;93;35;953;226;6;593;45;501;;730;118;277;15;91;1352;232;1;33;166;74;13;278;256;572;37;41;109;14;10;1;
;3;5;;2;3;;;;1;1;;5;1;4;1;10;5;2;2;;;;1;1;2;4;4;2;32;11;;18;1;22;;29;3;6;2;4;59;10;;3;15;4;2;15;23;26;2;;5;;;;
;;;;;;;;;0;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;18;33;33;7;16;2;1;36;1;5;29;44;3;12;6;6;579;9;14;;48;11;74;35;88;30;5;183;476;63;4;196;386;153;69;88;2236;69;;1022;503;89;;27;166;8;;1;85;137;245;36;624;20;4;;3
2;;3;;;;;;;0;;1;2;;;;;;1;;;;;;7;5;2;1;2;;1;;;;;;;1;;;2;1;1;1;2;1;10;;1;12;2;;;;3;;10;
;;6;;;;;;2;0;;3;1;1;;;;2;;;;;;;4;1;10;2;2;16;123;;24;4;21;;8;;9;;38;4;7;1;4;1;6;1;5;78;13;;16;;12;;;
;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;2;1;2;;5;;;
144;235;1534;173;300;234;44;42;727;11;36;801;1346;164;759;58;299;1041;656;369;12;504;47;159;6054;2997;11326;202;1603;4617;4245;40;5124;169;2257;62;4581;613;3947;58;1051;3499;10086;23;1093;674;1415;72;174;1267;10728;2563;795;896;508;32;7;
;;1;1;;;;;2;0;;;3;;;;1;2;;;;;;3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;
3;42;24;20;12;74;1;5;46;6;1;145;83;12;16;1;11;92;8;83;1;59;12;17;37;59;139;76;14;1094;104;8;71;50;79;5;219;114;77;22;347;640;92;8;28;127;14;9;8;892;732;198;9;101;33;12;;1
;1;1;1;;1;;;7;;;7;5;2;2;;1;18;1;4;;4;1;16;4;11;4;3;5;78;5;;20;16;12;7;17;51;8;;177;55;3;;4;24;;1;;23;41;35;3;20;3;;4;10
8;6;48;6;14;5;2;;9;;1;16;21;1;31;6;2;64;13;12;;11;2;1;31;17;33;5;9;356;88;1;113;33;192;3;273;64;42;;47;322;82;1;6;52;8;;;6;223;16;27;60;;1;;
;1;9;1;2;6;3;;12;;1;2;19;;8;2;3;19;7;9;1;;;1;41;27;38;1;10;70;87;1;72;13;109;;75;32;58;1;14;72;97;1;4;14;14;;1;7;81;11;9;13;6;;;
10;2;14;;15;;3;1;6;;201;;9;2;26;8;37;2;38;;1;;;3;17;;16;6;10;2;20;1;24;;22;;21;;13;1;1;10;6;;11;2;8;;;5;29;1;9;3;3;;;
1;;10;;11;;2;;6;;137;1;3;;10;2;14;1;15;;;;;;17;1;5;;13;;3;;5;;18;;5;2;5;;;1;6;;3;2;11;;;;7;;2;1;;;;1
;1;;;6;;;;1;;;;4;;4;1;9;4;2;1;;;;1;3;7;5;1;3;24;5;;21;8;11;;24;7;8;1;3;21;5;;2;16;2;;12;4;15;3;1;10;;;;
;6;3;1;;2;12;;187;;;5;32;;4;;8;14;;;;1;2;;;;3;1;2;73;1;1;3;2;151;;3;4;9;;1057;58;91;;287;21;;;;12;770;6;408;12;289;;;38
;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;4;;1;;;;;4;;;4;;;;;
2;120;2;12;;59;2;;71;;;42;25;3;1;;2;563;;12;;15;4;43;6;20;1;5;1;799;;1;13;31;6;11;8;118;28;1;144;749;64;;67;84;1;;;28;136;139;123;535;46;1;;1
1;1;;;;1;;;;;;;;;;;;;;1;;;;1;;;;;;5;;;;;;;;;;;;3;;;;;;;;;;;;2;;;;
3;12;72;1;32;24;2;2;20;;1;53;50;7;25;6;74;70;5;12;1;1;6;4;76;109;30;16;28;530;84;1;212;23;231;2;338;56;87;2;50;1236;137;;12;94;38;1;19;75;352;14;40;46;13;1;21;
1;1;9;3;2;2;;3;8;1;1;5;3;11;5;;5;11;4;5;;1;;2;18;19;6;3;5;33;35;;157;17;86;;43;21;23;1;23;54;26;;5;6;5;1;3;7;28;3;8;5;2;1;13;
;2;1;;;3;;;1;;;;2;;5;;;1;;;;4;;;;3;;;;8;;;3;;;;1;;;;;16;1;;;;;;;15;3;;;4;;;;
1;;;1;;2;;;;1;;;;;;;2;1;;2;;3;5;;;1;;;;12;;;4;1;1;;1;1;1;;1;11;;;5;4;;;;4;3;2;;6;1;;;
;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;1;;;;1;;;;;;;;
;;11;;;;;;1;;1;;;1;2;;8;3;2;;1;1;1;;8;;8;1;3;8;19;;;;34;;41;;3;;11;10;5;;1;;3;;2;31;135;;12;;1;;;
