G547N;G547T;G659N;G659T;G691N;G691T;G696N;G696T;G761N;G761T;G220N;G220T;G871N;G871T;G701N;G701T;G576N;G576T;G652N;G652T;G699N;G699T;G850N;G850T;G013N;G013T;G603N;G603T;G026N;G026T;G575N;G575T;G613N;G613T;G702N;G702T;G623N;G623T;G645N;G645T;G529N;G529T;G648N;G648T;G601N;G601T;G727N;G727T;G001N;G001T;G243N;G243T;G531N;G531T;G612N;G612T;G428N;G428T
12;5;59;13;23;555;1;4;169;16;10;87;179;22;59;6;;147;56;196;1;7;47;32;121;41;141;38;42;1038;209;16;207;41;173;7;238;135;336;23;96;575;617;11;137;242;83;4;122;1568;915;161;86;126;125;14;18;8
22;351;323;140;48;429;23;83;226;32;13;515;614;198;100;20;25;1667;94;428;4;697;46;209;417;496;341;222;194;7065;1274;48;1236;664;1058;105;2432;3546;826;13;8907;11252;2525;22;442;1758;149;18;97;477;4104;1572;746;3583;304;39;10;9
;3;5;1;1;2;;;8;;1;;8;;3;;103;14;;4;;3;;2;10;6;2;3;5;38;9;;18;29;31;1;8;29;8;1;43;46;7;;10;6;;;;3;30;8;10;11;4;;;3
1;1;2;;;;;;;;;;6;1;;;2;4;;;;;;1;1;1;;;3;11;3;1;9;2;2;;5;3;10;;15;9;6;;4;4;;;;2;10;3;;2;1;;5;
;45;13;27;6;62;4;1;16;2;;84;31;1;9;3;2;62;15;55;;34;3;25;59;42;27;3;31;731;47;12;174;112;89;4;133;105;87;;183;1744;133;1;37;35;9;2;4;26;231;39;46;118;18;1;1;
3;20;13;7;2;6;1;2;17;2;;25;29;5;6;;2;482;4;20;;82;;33;64;126;55;4;53;99;33;4;104;156;37;4;62;363;79;;369;168;180;;19;410;9;;4;192;322;110;39;292;5;3;3;13
1;1;;;1;2;;;2;;;1;5;;1;;;3;;4;;;;;5;3;;;2;3;4;;8;2;5;;8;3;5;;2;8;16;;3;9;;;6;25;34;3;3;2;2;;2;
;2;10;;2;;1;;3;1;;2;3;;2;;;4;2;2;;2;;;10;4;1;;2;11;4;1;22;2;10;;26;5;6;;5;42;21;;4;5;;;;16;44;5;11;7;;;;
1;40;6;20;1;33;1;;16;;22;21;36;;1;1;2;235;5;21;1;61;42;267;4;121;9;8;77;672;16;5;12;222;36;20;79;135;30;11;184;509;45;;88;1210;;;4;308;146;295;43;167;32;4;;
;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
;18;1;6;1;4;;;6;;1;5;19;;3;;;36;;6;;6;23;54;2;26;11;2;8;192;2;2;1;33;7;6;11;21;9;2;30;113;7;2;14;142;;;5;169;21;47;6;30;5;3;;
;2;;2;;9;;;2;;;4;3;;;;;2;;5;;2;;8;;6;;5;1;51;;;1;11;;2;2;6;;;5;33;;1;;7;;;1;54;6;18;;11;;1;;
;;;;;1;;;5;;;95;5;16;;;;97;;1;;;;2;;1;;5;1;8;2;;16;;1;;;12;27;2;22;3;138;1;1;10;;;;;17;3;4;4;;;;
38;71;236;53;62;393;4;24;86;22;41;232;118;63;27;3;104;633;65;414;8;225;800;166;308;119;242;191;134;8894;258;70;281;241;1659;31;3434;823;317;108;363;9447;298;19;291;1130;50;32;26;1394;2349;662;326;954;100;65;1;94
;;;;2;;;;;;;2;;;1;;;;;;;1;;;1;;;;;2;;;;;1;;;1;;;2;2;;;;;;;;2;1;2;;;;;;
22;40;280;63;153;63;14;2;134;7;4;165;274;31;153;10;120;230;106;47;2;128;40;13;446;65;358;47;50;2223;1370;14;1097;339;1003;7;1369;360;872;26;327;2002;1894;6;155;291;269;4;103;234;1517;98;267;260;93;11;16;3
1;3;8;7;13;1;2;4;1;;;2;;1;2;1;1;;4;;1;5;;;19;9;6;;3;27;3;;3;3;4;;6;2;12;1;14;7;16;;;2;3;;1;6;9;2;2;;1;;;
;;;;;;;;1;;;1;5;;1;;;1;;;;;;;;1;;;;250;;1;28;12;4;3;1;5;5;;15;120;12;;16;5;;;;;17;1;9;3;5;;;
;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;
;;5;;2;3;;;5;;;1;10;1;2;;;;;1;;1;;;5;;2;;2;4;14;;11;5;2;;31;;12;;3;8;15;;1;2;8;;1;29;8;1;2;4;1;;1;
;3;23;4;9;33;2;1;5;;1;5;21;1;6;1;1;16;6;15;2;5;;;22;15;14;1;14;60;57;1;53;12;19;4;166;23;59;;17;56;36;;6;25;19;1;17;691;52;12;1;7;3;1;;
5;10;6;14;8;126;;;5;3;1;7;3;3;14;6;4;9;10;56;1;8;21;16;4;;2;2;3;63;2;2;7;12;6;7;7;11;3;3;;30;2;;6;8;7;1;3;57;13;9;11;10;7;;;
;;;;;;;;3;;;;;;;;2;4;;;;1;;2;;;;;3;49;;;;4;2;;1;6;1;;;10;1;;1;2;;;;6;4;9;;5;;;;2
;;;1;;1;;;1;;;1;;;;;;;;;;;2;1;;;1;;;;;;;;;;;1;;;;1;;;;;;;;1;;;;2;;;;
;;;1;;;;;;;;3;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;
1;7;32;2;3;7;1;2;4;;;;6;;17;3;4;14;15;1;;4;4;2;16;7;8;;2;28;21;;86;3;72;;42;4;21;;16;46;26;;17;;2;;;3;78;1;26;3;4;;;
;;;1;;;;;8;;;1;4;;4;;;3;;;;;;2;1;;1;;1;10;1;;2;;;;3;1;1;;82;10;5;;10;1;;;1;;69;;23;1;15;;;
203;143;1127;126;214;3867;32;196;1530;142;176;3001;2117;1994;276;43;376;2788;317;1366;13;370;508;283;1299;1301;2774;654;1078;8314;4809;422;4298;1608;4461;86;5126;4087;8033;67;4191;9267;10578;190;1104;2283;427;66;300;7905;5484;1236;1592;2875;2044;622;176;95
1;;1;1;1;;;;3;;;;;;1;;;1;;;;;;;;2;3;;2;4;2;;;;1;;1;2;4;;2;;1;;2;1;;;1;3;4;2;;;1;;;
134;506;211;7;7;840;1;22;30;2;9;217;24;264;62;27;5;9;7;9;71;8;30;22;15;11;25;6;21;5;39;14;23;43;14;10;14;22;42;;12;15;44;1;20;11;30;1;1;6;37;10;32;34;42;3;;4
;3;;;;23;1;1;1;;;4;;;;;;;;;;;;;;;;;;2;1;;3;;;;;2;2;;;;1;;2;;;;;;3;;1;;;;;1
25;97;105;84;44;128;3;;54;1;5;82;34;10;41;2;51;1023;19;33;2;53;16;71;206;227;53;8;299;1643;76;8;197;127;151;20;726;970;157;7;1260;738;262;13;54;961;85;;20;13;758;832;109;1693;27;10;42;58
9;6;36;6;32;6;;1;53;4;7;15;35;4;29;2;49;20;20;4;1;4;18;8;111;24;131;7;22;511;164;1;109;11;130;;404;29;166;8;49;206;132;1;70;36;53;1;63;25;441;72;27;67;17;3;;
15;35;28;29;14;17;;;7;1;32;67;19;8;16;4;28;447;24;10;;42;11;44;54;142;89;12;162;625;44;2;59;60;99;17;220;505;84;;347;358;84;3;14;54;43;31;11;21;185;1612;16;955;10;5;73;280
1;2;17;2;6;2;1;1;1;2;1;26;10;23;5;1;17;17;3;2;1;5;2;1;15;8;35;73;8;161;24;6;9;6;39;2;146;10;34;24;14;114;25;4;2;13;8;25;5;74;63;53;8;55;;2;;
2;206;16;7;2;570;;2;1;1;2;37;3;13;6;;;25;5;7;;5;4;3;6;2;1;;9;107;7;1;17;10;17;2;22;24;7;;27;109;22;;3;13;3;1;1;6;55;16;12;21;;;;14
;1;;;;5;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
231;131;3071;20;176;165;26;18;597;1;20;329;1409;179;555;82;166;2864;604;130;4;83;69;53;2356;1231;1420;26;964;1965;4293;13;8741;508;7144;26;5165;1135;2549;;4732;6704;5064;3;501;322;715;9;24;71;6837;398;1777;769;178;6;41;108
;1;4;;;;;;1;;;;6;;3;;2;;;;;;;;3;;5;;;;5;;13;;9;;12;;9;;;2;14;;1;;6;;;;8;;2;;;;;
41;8;702;12;1;127;2;1;2;2;;60;241;30;5;3;;23;449;71;;32;9;10;26;6;1301;2;5;456;1635;5;273;31;607;5;60;16;8;;2;150;61;;2;15;1;;1;23;527;2;4;129;1;3;;2
1;;1;;;;;;;;;;;;;;;;4;;;;;;;;3;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
9;58;444;27;185;19;44;2;19;1;;37;226;9;601;19;28;141;75;4;;28;2;6;361;42;94;7;5;387;796;1;1611;64;230;4;1466;69;292;9;4;412;761;;9;221;129;;;156;1391;24;4;90;;2;;
11;12;13;7;5;14;1;1;18;1;10;62;16;34;11;1;48;88;17;6;4;48;20;8;122;122;196;3;290;508;45;6;53;60;299;6;60;196;315;;265;351;94;3;26;50;16;4;28;47;216;187;74;157;9;4;;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
72;81;783;39;207;51;52;90;153;4;26;271;607;47;431;23;201;404;379;58;2;42;22;20;695;202;426;76;85;2124;1241;2;1593;32;1114;5;1982;204;2503;4;179;4582;4264;3;131;524;475;31;284;61;1749;82;274;201;48;17;445;12
136;301;448;127;144;91;86;49;245;4;60;810;725;256;489;113;260;270;309;117;3;78;103;116;558;271;268;242;98;225;423;55;609;249;499;36;268;236;590;4;99;515;385;15;673;205;520;46;37;43;220;106;285;106;209;33;235;24
35;20;296;14;26;32;20;33;88;;20;88;551;58;218;7;83;222;99;31;;9;4;5;291;143;166;39;15;1197;546;3;806;46;907;2;718;122;770;1;99;2248;1353;;67;90;119;15;1;7;790;21;159;52;40;5;2;
16;51;127;56;19;269;24;4;81;4;6;32;96;7;79;5;43;418;64;144;4;122;103;52;168;144;41;12;139;2626;126;11;665;366;524;23;394;493;178;8;308;1178;335;;214;345;29;2;11;827;838;249;166;283;44;2;1;
;1;;;;1;;;;;;;;;;;;8;;;;1;;;1;;;;;10;;;;;;;1;4;2;;;4;1;;1;1;;;;;2;;;;;;;
103;162;538;125;115;993;41;4;417;29;35;212;428;45;294;23;300;1492;234;458;9;285;292;211;915;572;297;53;598;8370;858;56;4260;1508;2363;75;1744;1727;1197;30;1389;4205;1979;6;1336;2484;299;6;176;2762;3681;1349;879;1040;347;26;10;19
;;;;;2;;;;;;;;;;;;1;;;;2;;2;;1;;;;;;;;2;;2;1;1;;;;4;;;;2;;;;;2;1;;11;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
;232;;134;1;237;7;2;128;1;1;123;112;22;5;;;697;5;161;;115;6;42;2;153;9;51;4;5628;4;10;9;264;28;22;30;158;28;1;665;2264;148;2;181;313;;1;3;;822;129;203;348;138;3;;4
;4;;3;;12;;;4;;;20;10;13;;;;65;;8;;5;;3;;7;;11;;267;;7;;52;1;2;1;46;1;5;46;175;7;1;4;26;;4;;;16;27;10;41;11;2;;1
2;903;1;242;2;2395;11;19;3401;11;8;667;705;139;14;10;1;6039;11;775;2;426;7;155;10;511;18;146;76;21270;20;74;47;1824;83;148;114;2884;1050;6;9179;9553;4292;13;1086;1359;3;3;3;2;2270;1020;1715;3607;2588;19;;175
;7;;4;;14;;;27;;;8;19;7;;;;68;;6;;3;;2;;8;2;6;1;379;2;2;1;8;1;;;38;4;;50;218;19;;27;40;;;;;45;14;26;28;12;2;;
1;1217;4;770;22;12355;48;106;2742;35;18;717;1265;76;13;17;;6780;25;1048;8;1160;65;2322;3;816;37;172;131;44907;37;194;62;1327;201;1026;146;4154;740;9;16865;18294;3006;39;855;6578;4;7;8;17;6785;9003;1801;41925;2588;54;;11
;1;;3;;;;1;1;;;;2;;;;;15;;;;5;;6;;6;;;1;45;;;;7;;3;1;26;;;37;10;2;;1;16;;;;;2;10;;66;;1;;8
;;;;;;;;;;2;20;;1;;;1;1;;;;;;;1;1;10;1;3;3;1;2;1;;4;;1;;1;;;;3;1;;;4;5;37;3;2;2;;;;;;
;;3;;;;2;;1;;16;15;8;6;2;;2;8;;;;;5;;23;20;60;;31;14;19;1;27;2;39;;24;5;19;;10;21;12;;4;;12;8;12;;20;;9;;1;;1;
2;35;1;143;;20;1;;8;8;2;251;15;14;4;;3;486;2;31;;13;5;132;10;250;31;106;33;14191;3;23;29;270;86;31;66;700;19;2;53;1999;22;4;46;216;;2;;3;218;1622;58;758;;6;;
7;;44;;24;;5;2;66;1;3;8;138;7;85;11;57;67;12;7;2;;4;;115;47;77;3;60;101;198;;1531;10;1114;1;647;65;1112;;199;116;1087;1;131;128;18;1;54;4;545;3;156;15;10;;2;
;5;1;854;1;4;1;3;20;13;6;2315;3;5;1;53;8;22151;24;768;1;5921;118;5306;13;3738;32;431;512;76176;3;261;106;7573;299;929;222;18199;185;57;137;9714;4;41;83;11255;;24;;15;577;21882;59;28618;21;295;;
;;;;;;;;;;576;3;;1;2;;;2;;;;;;2;;;4;1;;5;2;;1;;2;;;1;2;1;4;1;2;1;23;2;3;1;1;121;6;;5;;2;;;
;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
10;45;186;31;12;454;2;;25;;7;9;62;4;118;11;10;442;59;119;1;8;77;48;117;45;53;8;28;3348;67;2;129;40;289;22;422;151;77;2;91;1563;163;;59;117;18;;5;226;843;145;119;399;28;;;2
3;1;31;6;;105;;2;32;;;5;31;7;14;1;2;63;8;45;;2;2;14;27;10;23;6;6;194;59;2;77;15;52;3;47;48;62;;45;162;164;1;28;10;10;;;553;114;10;36;32;23;1;1;
;;;8;1;48;;1;;;1;13;2;2;1;1;2;13;4;10;;;9;2;3;2;2;1;3;67;4;;2;1;17;;15;13;10;;;31;10;;1;19;;;;7;30;;3;29;1;;;1
;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;2;;;;;1;;2;5;;;;1;;;;2;;;;;;;2;3;1;;;
468;20814;11868;5423;9332;16574;309;862;6590;78;79;6432;9589;1047;6800;3860;535;120815;2658;26147;15;23002;1084;7970;9004;13355;3348;5271;1474;377693;17716;1148;25320;27539;119248;3894;79547;67635;14005;19;15128;476438;16897;351;2568;26304;2208;1309;86;2048;61936;52071;8967;107857;1465;228;2;62
;120;11;150;12;52;2;2;22;2;;28;18;4;3;7;1;3179;4;71;1;437;3;301;2;414;15;15;56;326;65;13;60;1496;113;249;54;3690;41;;241;461;23;4;2;1681;5;1;2;15;29;1187;7;4016;3;3;;27
3;26;22;22;12;23;1;;22;2;2;23;31;3;12;;6;54;4;23;2;49;1;3;17;23;18;83;4;4266;61;7;19;26;27;8;91;21;25;20;12;821;63;3;18;480;10;3;5;238;167;104;22;256;20;3;;
;;;;;;;;;;;2;;2;;;;4;;;;;;;;4;;;;;;;;4;;;;1;;;;;1;;;;;;;;;;;;;;;
;1;4;2;1;1;;;1;;;28;1;;1;;;48;;;;1;;;3;15;1;3;5;152;2;2;13;37;43;2;19;109;6;;10;261;11;;2;9;1;;;1;9;15;3;24;;;;1
58;172;691;14;105;40;17;8;77;2;1;56;273;17;363;22;125;769;206;25;3;31;16;23;364;194;198;30;106;613;737;1;1464;31;616;3;1747;177;536;;342;1512;737;4;91;735;91;1;43;29;2222;173;144;539;14;4;861;94
4;6;30;2;1;1;1;;5;1;1;7;13;1;38;3;7;31;4;1;;1;;1;27;13;8;11;6;130;58;1;135;9;63;;99;18;27;1;17;213;56;;1;49;12;4;7;1;107;10;14;16;1;;1;
4;95;4;;;37;;1;4;;;;;14;;;;;;;;1;2;1;;;;;;;;;;2;;;;;;;;;;;3;;;;;;5;1;;;5;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;;2;;;;;9;1;;;;;;;53;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;89;;;;;;;;
;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;3;;;;;;;1;162;1;;;;;;;
8;8;243;;63;6;6;2;181;1;7;27;93;27;185;9;53;68;31;5;1;5;4;1;307;145;98;6;141;177;673;;1783;34;759;2;1203;105;642;1;450;244;393;1;209;79;93;3;6;309;915;32;517;41;90;;;
;;2;;2;;;;;;;1;1;;;;1;1;;;;;;;2;;;;;;3;;7;;;;3;2;7;1;3;2;3;;1;1;2;;;;6;;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;1;;;;;;;;
;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
1;2;;1;;;;;3;;;2;1;;;;;4;1;;;2;;2;;;2;;;8;1;;1;2;;;3;1;2;;4;6;3;;;1;;;;3;1;1;;3;1;;;
14;181;312;93;477;36;20;6;138;;17;83;116;18;53;8;128;1361;48;26;2;306;43;357;799;2776;521;42;1957;1826;542;5;531;1322;767;103;2964;2975;204;15;1199;1722;131;;88;4522;92;18;126;53;3463;5569;76;1452;56;7;88;240
;13;29;6;16;6;;2;11;;;16;9;;5;4;6;122;2;2;;4;2;8;48;16;15;5;10;234;48;2;38;48;83;7;238;120;13;;54;313;3;;2;46;13;1;;7;72;86;6;133;3;;;
12;277;216;125;224;53;101;4;206;1;1;99;94;13;106;13;62;1097;151;69;1;362;5;25;182;150;366;54;67;8955;250;12;235;434;260;37;864;850;310;7;562;2319;356;9;95;965;46;55;13;52;1954;427;117;1112;70;8;;
;4;8;1;2;2;1;;17;;;3;5;;3;;;18;1;3;1;1;1;1;9;14;1;;2;79;8;1;10;20;16;;19;19;18;;7;28;28;;4;9;3;;;;22;3;5;14;4;1;;
10;92;245;71;97;98;28;10;233;7;1;91;153;19;95;12;30;948;67;155;;165;10;23;101;108;131;27;43;6035;345;4;152;449;145;1;458;643;319;1;248;1568;1040;5;43;1216;89;7;11;38;1243;211;62;1117;44;15;2;
;3;;3;1;4;;;;;;;;;;;;2;;12;;9;;;;;1;4;;23;1;;2;2;2;28;1;1;;;;2;1;;;;;;;1;2;;;3;;;;
5;53;198;330;26;799;9;12;128;3;5;218;37;30;61;110;54;1422;14;319;5;453;261;347;119;404;70;29;129;19947;171;50;647;1639;4058;305;741;3095;235;;1048;61747;66;30;144;416;12;9;;76;1414;1084;227;2758;16;12;9;199
;;;;;5;;;1;;;;;;;;;1;;1;;1;1;;;;1;;;19;1;;4;2;8;;;1;;;;38;;;;1;;;;;4;1;;1;1;;;
;34;28;56;20;50;2;1;4;2;1;44;18;8;6;5;15;353;11;39;;1;11;10;15;5;21;21;3;2021;79;11;47;15;64;3;171;136;63;;13;712;30;23;3;43;14;2;;6;99;111;10;414;3;6;1;3
336;733;1137;522;1583;267;151;47;1936;15;210;793;1138;233;797;158;571;889;813;278;11;422;503;4079;1306;1226;1638;214;467;2714;1745;131;1826;1506;1370;545;2496;1388;1962;9;653;1766;1518;47;1129;1475;735;91;94;47;10578;5950;2206;7012;1659;101;8;11
;2;;;5;;;;;;1;2;;;;;;;10;;;4;;1;;1;22;1;;19;1;;1;;5;;2;1;16;;;6;1;;1;3;2;;1;1;2;7;;10;;1;;
342;357;1644;280;1106;122;313;30;3865;9;135;367;2462;211;1456;116;408;288;1046;120;10;183;292;4371;2273;1120;2300;114;886;930;2731;78;2974;1509;1721;463;4071;767;3226;4;1172;960;4206;19;1726;582;1159;19;47;27;16957;986;3525;2249;2774;47;13;3
1;4;4;1;1;1;;;4;;;1;4;;2;;2;2;2;;;5;;;5;3;9;3;7;27;4;;9;4;11;;24;;12;;12;4;11;;4;2;2;1;;1;34;3;5;3;1;;;
120;591;1112;354;1574;298;195;11;410;9;24;455;538;42;564;50;267;1259;1369;279;13;767;;258;1608;1018;679;106;581;10722;1282;56;3136;1181;3088;30;4895;1152;1177;24;971;8156;1400;15;478;1796;381;9;57;567;8110;1451;521;1692;163;20;1;12
1;6;5;1;16;1;1;;11;;;1;6;;;;;;5;;;7;;2;5;;;;;2;;;7;3;2;;1;;1;;1;2;1;;2;2;4;;;1;2;;;1;;;;
;7;4;1;14;3;1;;9;1;;1;3;;1;1;;6;1;7;1;4;10;24;6;;;;;2;2;;4;;1;;1;2;2;1;1;3;1;;1;;1;;;;2;1;;1;;;;
10;88;135;103;18;149;11;12;162;2;36;188;434;55;117;25;61;797;77;116;1;222;122;65;169;111;309;110;103;3378;887;35;561;260;669;26;636;939;934;33;507;2456;1583;12;142;620;52;81;25;658;617;292;208;689;129;27;;
;1;4;;;4;;1;1;1;;9;3;1;2;;;22;;4;;7;;3;3;4;4;4;3;400;2;1;6;5;12;2;14;26;8;4;5;146;;2;1;60;1;1;;25;34;25;2;53;1;2;;
1784;1865;15412;900;680;3735;228;443;6906;32;287;2854;9817;2025;5623;733;1542;28696;4778;3240;29;4985;734;1438;13960;12718;15042;837;13096;31592;35159;334;54672;13914;43577;768;40846;34642;34952;3;67694;63056;62961;67;7240;6109;2520;46;412;4917;55046;7741;16162;22062;4215;105;7;39
;1;1;;;;;;2;;;;1;;1;;;;;1;;;;;2;;4;;;4;12;;13;2;4;;5;;6;;;2;4;;;;;;;;5;;2;;1;;;
1;;9;2;;2;;;20;;1;4;9;2;8;2;;14;1;;;;3;;19;9;11;2;6;32;106;;170;5;55;;73;7;125;;23;29;143;;3;8;11;;;2;31;;20;10;8;;1;
132;121;2565;41;154;637;46;39;1258;7;72;339;2366;280;944;81;140;1877;1034;658;;110;371;114;3752;840;3024;91;890;9719;6718;39;11920;994;8694;49;11567;2014;4488;1;4275;14448;9383;14;1983;353;824;8;16;236;13470;330;4044;1048;696;6;1;
;;7;1;1;;;;10;;;27;5;2;4;;3;3;3;1;;2;1;;9;3;8;1;1;84;25;1;36;8;44;;8;23;36;;11;143;58;;5;2;10;;;;14;1;8;6;5;;;
240;440;387;241;530;896;28;41;361;9;44;600;255;79;234;98;210;329;640;812;14;387;244;1240;667;693;203;115;145;1515;271;154;534;1260;825;389;456;555;362;30;150;943;198;28;427;386;580;73;30;151;5761;4218;1072;3638;419;51;5;81
;6;;8;2;;3;;;;;;1;;;;;18;;5;1;14;;2;;19;3;;;31;1;1;1;6;11;1;8;15;1;1;11;3;1;;6;41;2;;;;23;36;1;74;1;;;
537;341;1122;171;1058;1037;98;71;1401;14;60;745;1133;235;1061;163;421;228;1624;572;50;241;245;1054;1375;480;620;202;285;1379;904;251;1561;1718;1416;366;1116;391;921;40;470;975;1048;19;1264;283;1093;50;77;378;17747;1211;3650;1838;999;62;7;35
12;31;119;27;18;1;2;;38;;1;9;26;4;107;3;11;344;5;3;;47;1;15;70;1548;54;10;458;851;147;2;187;1747;204;53;625;1926;106;2;1817;416;279;;20;836;29;1;3;4;520;103;78;583;15;3;;
57;37;950;13;170;368;17;93;198;17;7;301;350;240;589;47;157;303;183;180;3;67;13;25;474;66;1035;366;77;2248;2148;26;1238;56;1194;11;2730;230;1592;12;267;3133;2686;24;68;276;258;54;42;549;2938;98;196;456;73;58;3;
87;205;524;23;184;194;24;7;244;1;2;24;168;3;416;29;97;431;112;115;8;243;9;26;661;273;401;23;429;1918;915;2;1698;147;1164;16;1775;492;717;3;630;1952;1107;2;142;452;341;1;9;45;3666;343;233;468;63;3;6;1
;;;;1;;;;2;;;;1;;;;;1;;;1;;;1;;1;4;;1;2;2;;;1;;1;2;1;4;;1;1;;;2;2;;;1;;3;9;1;7;;;;
;;;;3;2;;;2;;1;;6;;3;1;3;3;2;;;;;;8;3;38;;1;30;9;;21;3;11;;21;7;10;;5;48;16;;3;1;;;7;1;35;;3;1;;;;
1;3;4;;1;4;;;4;;3;1;6;1;2;3;2;7;3;1;;1;;;12;15;15;3;16;16;13;1;81;2;40;;18;10;11;;33;28;7;;6;1;2;;;2;25;1;12;6;;;9;1
320;413;2532;220;341;1399;44;57;1579;16;53;896;1753;354;894;144;447;4619;904;1398;21;1127;144;466;3642;2287;1331;106;1422;6129;3336;93;7090;4587;6524;121;5014;8132;5383;9;6775;16713;10438;16;1230;1964;1226;41;256;789;11456;2772;2030;2249;1006;69;4;1
7;4;70;4;9;4;1;;77;1;2;29;60;2;106;8;18;51;3;6;;11;1;13;273;87;79;8;88;353;207;1;473;133;309;6;407;202;387;1;175;531;856;;70;165;107;;47;10;628;85;124;63;73;5;;
131;188;337;232;380;343;89;17;284;2;61;473;102;73;249;44;154;179;383;491;9;447;126;297;4308;2673;1988;21;2021;3618;1101;57;2024;2985;3302;61;2439;3423;1566;2;1889;8825;2110;4;884;832;281;4;70;159;9832;937;936;715;491;26;9;6
;2;8;5;1;1;;;3;;1;4;2;;8;2;2;8;;;;4;1;;6;3;3;;7;17;9;;20;3;9;;27;15;23;;6;26;26;;1;16;8;1;1;;35;10;5;10;1;;;
1;2;8;1;6;2;;;5;;;8;8;1;10;2;;7;8;;1;5;;1;6;5;5;2;5;41;50;2;15;2;32;;96;13;50;;27;89;85;;3;3;12;;1;4;61;3;17;4;6;;;
186;205;376;147;180;467;60;17;353;7;26;272;160;132;330;48;159;300;627;491;11;502;124;230;1879;936;526;21;869;3504;1230;43;3202;3411;3450;54;2783;3602;2593;3;4383;10108;5668;9;1012;1102;477;35;103;231;7944;584;1694;904;513;42;;
10;9;29;2;10;10;;1;41;;6;59;8;2;23;3;13;102;13;9;;46;6;11;95;53;43;6;199;288;68;5;149;242;243;10;177;299;250;1;288;370;203;1;37;112;33;1;21;15;336;47;102;75;27;3;1;
3;16;47;16;9;17;1;;16;;1;9;24;4;20;1;4;46;14;33;;32;6;5;22;10;21;6;4;211;78;;67;8;56;2;120;29;53;;49;160;122;2;18;14;16;;1;397;152;12;17;55;20;;;
;1;1;1;2;;;;1;;;;2;;;1;;2;;4;;3;1;;;1;;;;22;3;;5;2;6;;3;6;1;;7;20;3;;1;2;;;;46;12;2;;2;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
28;243;318;4;29;323;3;11;131;1;13;55;148;20;114;8;49;1616;51;165;4;214;22;30;380;232;96;10;261;555;394;4;988;189;1201;24;1083;339;261;;3019;1533;490;2;265;531;40;10;5;356;1153;172;338;300;99;;;10
5;44;115;4;22;154;5;16;272;11;27;647;248;152;145;13;30;143;22;70;;15;26;16;323;98;402;122;502;462;3268;47;3199;190;2327;18;4992;466;1752;5;3724;2509;3451;133;307;483;189;21;15;2441;1503;98;621;150;475;52;;
64;52;299;43;40;246;12;4;218;1;15;282;255;87;185;36;117;192;102;87;4;100;79;107;117;112;107;38;63;149;129;26;230;220;183;35;167;244;138;1;420;156;114;6;223;147;97;1;30;870;3884;566;1198;957;231;17;38;118
1;1;3;1;2;4;;1;10;1;;6;17;2;5;1;2;2;1;2;;2;;1;13;5;17;6;5;48;45;3;32;5;33;1;23;13;41;5;24;18;48;;13;7;3;1;7;24;36;10;8;5;8;3;;
55;52;313;37;27;133;7;10;211;1;37;276;144;56;150;33;81;213;110;136;2;61;183;153;176;154;122;34;116;235;82;22;163;105;273;27;143;147;107;;205;277;79;7;283;146;114;3;10;243;4484;370;997;824;292;11;18;66
